TMDb ID,IMDb ID,Title,Year,Public Avg Rating
949,tt0113277,Heat,1995,7.92
152601,tt1798709,Her,2013,7.8
493922,tt7784604,Hereditary,2018,7.3
12493,tt0057565,High and Low,1963,8.343
771,tt0099785,Home Alone,1990,7.4
56379,tt0075815,House,1977,6.5
1019939,tt12818328,Hundreds of Beavers,2022,7.281
389015,tt5580036,"I, Tonya",2017,7.5
3782,tt0044741,Ikiru,1952,8.3
500840,tt7939766,I'm Thinking of Ending Things,2020,6.6
8321,tt0780536,In Bruges,2008,7.491
843,tt0118694,In the Mood for Love,2000,8.103
46738,tt1255953,Incendies,2010,8.1
27205,tt1375666,Inception,2010,8.369
16869,tt0361748,Inglourious Basterds,2009,8.215
171274,tt1791528,Inherent Vice,2014,6.6
86829,tt2042568,Inside Llewyn Davis,2013,7.2
157336,tt0816692,Interstellar,2014,8.455
5915,tt0758758,Into the Wild,2007,7.797
399174,tt5104604,Isle of Dogs,2018,7.85
346364,tt1396484,It,2017,7.238
474350,tt7349950,It Chapter Two,2019,6.8
270303,tt3235888,It Follows,2014,6.583
1585,tt0038650,It's a Wonderful Life,1946,8.279
184,tt0119396,Jackie Brown,1997,7.357
2291,tt0099871,Jacob's Ladder,1990,7.4
578,tt0073195,Jaws,1975,7.667
469019,tt7214762,Jim & Andy: The Great Beyond,2017,7.459
515001,tt2584384,Jojo Rabbit,2019,8.006
475557,tt7286456,Joker,2019,8.137
583406,tt9784798,Judas and the Black Messiah,2021,7.3
7326,tt0467406,Juno,2007,7.052
329,tt0107290,Jurassic Park,1993,7.954
16859,tt0097814,Kiki's Delivery Service,1989,7.8
24,tt0266697,Kill Bill: Vol. 1,2003,7.97
393,tt0378194,Kill Bill: Vol. 2,2004,7.9
466420,tt5537002,Killers of the Flower Moon,2023,7.425
546554,tt8946378,Knives Out,2019,7.8
2118,tt0119488,L.A. Confidential,1997,7.796
406,tt0113247,La Haine,1995,8.085
313369,tt3783958,La La Land,2016,7.9
391713,tt4925292,Lady Bird,2017,7.255
6615,tt0805564,Lars and the Real Girl,2007,7.194
947,tt0056172,Lawrence of Arabia,1962,8.0
53023,tt0058985,Le Bonheur,1965,7.46
101,tt0110413,Léon: The Professional,1994,8.3
718032,tt11271038,Licorice Pizza,2021,6.963
773,tt0449059,Little Miss Sunshine,2006,7.692
1226578,tt23468450,Longlegs,2024,6.562
153,tt0335266,Lost in Translation,2003,7.385
15395,tt0282698,Love Liza,2002,6.4
76341,tt1392190,Mad Max: Fury Road,2015,7.622
523607,tt5535276,Maestro,2023,6.31
334,tt0175880,Magnolia,1999,7.725
722913,tt12676326,Malcolm & Marie,2021,7.0
1883,tt0104797,Malcolm X,1992,7.536
334541,tt4034228,Manchester by the Sea,2016,7.5
614560,tt10618286,Mank,2020,6.7
492188,tt7653254,Marriage Story,2019,7.7
10830,tt0117008,Matilda,1996,7.2
62215,tt1527186,Melancholia,2011,7.2
77,tt0209144,Memento,2000,8.178
11423,tt0353969,Memories of Murder,2003,8.057
607,tt0119654,Men in Black,1997,7.208
41154,tt1409024,Men in Black 3,2012,6.53
437586,tt5613484,mid90s,2018,7.484
59436,tt1605783,Midnight in Paris,2011,7.5
530385,tt8772262,Midsommar,2019,7.153
615643,tt10633456,Minari,2020,7.335
1700,tt0100157,Misery,1990,7.747
265177,tt3612616,Mommy,2014,8.2
9297,tt0385880,Monster House,2006,6.691
376867,tt4975722,Moonlight,2016,7.4
83666,tt1748122,Moonrise Kingdom,2012,7.7
